row_idx,col_idx,log2ratio
封建,2015/3/27,0
封建,2015/3/28,0.00558659217877095
封建,2015/3/29,0.537313432835821
封建,2015/3/30,0
收視,2015/3/20,0
收視,2015/3/21,0
收視,2015/3/22,0
收視,2015/3/23,0
收視,2015/3/24,0.00448430493273543
收視,2015/3/25,0.35
收視,2015/3/26,0.131147540983607
收視,2015/3/27,0
收視,2015/3/28,0.00558659217877095
收視,2015/3/29,0.0149253731343284
收視,2015/3/30,0
撰文,2015/3/20,0.012987012987013
撰文,2015/3/21,0
撰文,2015/3/22,0.0313725490196078
撰文,2015/3/23,0
撰文,2015/3/24,0
撰文,2015/3/25,0
撰文,2015/3/26,0.00546448087431694
撰文,2015/3/27,0.00434782608695652
撰文,2015/3/28,0
撰文,2015/3/29,0
撰文,2015/3/30,0.423728813559322
有線電視,2015/3/20,0
有線電視,2015/3/21,0
有線電視,2015/3/22,0
有線電視,2015/3/23,0
有線電視,2015/3/24,0.00448430493273543
有線電視,2015/3/25,0.471428571428571
有線電視,2015/3/26,0
有線電視,2015/3/27,0
有線電視,2015/3/28,0
有線電視,2015/3/29,0
有線電視,2015/3/30,0
簽章,2015/3/20,0
簽章,2015/3/21,0
簽章,2015/3/22,0
簽章,2015/3/23,0
簽章,2015/3/24,0
簽章,2015/3/25,0
簽章,2015/3/26,0
簽章,2015/3/27,0.00434782608695652
簽章,2015/3/28,0.446927374301676
簽章,2015/3/29,0.0149253731343284
簽章,2015/3/30,0
有話好說,2015/3/20,0
有話好說,2015/3/21,0
有話好說,2015/3/22,0
有話好說,2015/3/23,0
有話好說,2015/3/24,0.00448430493273543
有話好說,2015/3/25,0.457142857142857
有話好說,2015/3/26,0
有話好說,2015/3/27,0
有話好說,2015/3/28,0
有話好說,2015/3/29,0
有話好說,2015/3/30,0
蒸發,2015/3/20,0
蒸發,2015/3/21,0
蒸發,2015/3/22,0
蒸發,2015/3/23,0
蒸發,2015/3/24,0.00448430493273543
蒸發,2015/3/25,0
蒸發,2015/3/26,0.437158469945355
蒸發,2015/3/27,0
蒸發,2015/3/28,0
蒸發,2015/3/29,0
蒸發,2015/3/30,0.0169491525423729
奇幻,2015/3/20,0.00324675324675325
奇幻,2015/3/21,0
奇幻,2015/3/22,0
奇幻,2015/3/23,0
奇幻,2015/3/24,0
奇幻,2015/3/25,0.257142857142857
奇幻,2015/3/26,0.087431693989071
奇幻,2015/3/27,0.0869565217391304
奇幻,2015/3/28,0.00558659217877095
奇幻,2015/3/29,0.0149253731343284
奇幻,2015/3/30,0
文革,2015/3/20,0.00324675324675325
文革,2015/3/21,0.0432900432900433
文革,2015/3/22,0
文革,2015/3/23,0
文革,2015/3/24,0
文革,2015/3/25,0
文革,2015/3/26,0
文革,2015/3/27,0
文革,2015/3/28,0.00558659217877095
文革,2015/3/29,0.402985074626866
文革,2015/3/30,0
鋪面,2015/3/20,0
鋪面,2015/3/21,0
鋪面,2015/3/22,0
鋪面,2015/3/23,0
鋪面,2015/3/24,0
鋪面,2015/3/25,0
鋪面,2015/3/26,0.420765027322404
鋪面,2015/3/27,0
鋪面,2015/3/28,0
鋪面,2015/3/29,0
鋪面,2015/3/30,0.0338983050847458
祖國,2015/3/20,0
祖國,2015/3/21,0
祖國,2015/3/22,0
祖國,2015/3/23,0.318181818181818
祖國,2015/3/24,0.121076233183856
祖國,2015/3/25,0
祖國,2015/3/26,0
祖國,2015/3/27,0.00434782608695652
祖國,2015/3/28,0
祖國,2015/3/29,0
祖國,2015/3/30,0
推卸責任,2015/3/20,0
推卸責任,2015/3/21,0
推卸責任,2015/3/22,0
推卸責任,2015/3/23,0
推卸責任,2015/3/24,0
推卸責任,2015/3/25,0
推卸責任,2015/3/26,0
推卸責任,2015/3/27,0.00434782608695652
推卸責任,2015/3/28,0.402234636871508
推卸責任,2015/3/29,0.0149253731343284
推卸責任,2015/3/30,0
劃設,2015/3/20,0
劃設,2015/3/21,0
劃設,2015/3/22,0.00392156862745098
劃設,2015/3/23,0
劃設,2015/3/24,0
劃設,2015/3/25,0
劃設,2015/3/26,0
劃設,2015/3/27,0.243478260869565
劃設,2015/3/28,0.0782122905027933
劃設,2015/3/29,0.0447761194029851
劃設,2015/3/30,0.0508474576271186
不必要,2015/3/20,0.00324675324675325
不必要,2015/3/21,0.038961038961039
不必要,2015/3/22,0.0352941176470588
不必要,2015/3/23,0
不必要,2015/3/24,0.00448430493273543
不必要,2015/3/25,0
不必要,2015/3/26,0
不必要,2015/3/27,0
不必要,2015/3/28,0
不必要,2015/3/29,0
不必要,2015/3/30,0.338983050847458
大煙囪,2015/3/20,0.00324675324675325
大煙囪,2015/3/21,0
大煙囪,2015/3/22,0
大煙囪,2015/3/23,0
大煙囪,2015/3/24,0
大煙囪,2015/3/25,0
大煙囪,2015/3/26,0
大煙囪,2015/3/27,0.395652173913043
大煙囪,2015/3/28,0.0111731843575419
大煙囪,2015/3/29,0
大煙囪,2015/3/30,0
郁慕明,2015/3/20,0.00324675324675325
郁慕明,2015/3/21,0
郁慕明,2015/3/22,0
郁慕明,2015/3/23,0
郁慕明,2015/3/24,0
郁慕明,2015/3/25,0.342857142857143
郁慕明,2015/3/26,0.00546448087431694
郁慕明,2015/3/27,0
郁慕明,2015/3/28,0
郁慕明,2015/3/29,0
郁慕明,2015/3/30,0
選址,2015/3/20,0
選址,2015/3/21,0
選址,2015/3/22,0
選址,2015/3/23,0
選址,2015/3/24,0.00448430493273543
選址,2015/3/25,0
選址,2015/3/26,0.229508196721311
選址,2015/3/27,0.00434782608695652
選址,2015/3/28,0.00558659217877095
選址,2015/3/29,0.0149253731343284
選址,2015/3/30,0.0677966101694915
馬來西亞,2015/3/20,0
馬來西亞,2015/3/21,0
馬來西亞,2015/3/22,0.00392156862745098
馬來西亞,2015/3/23,0
馬來西亞,2015/3/24,0.269058295964126
馬來西亞,2015/3/25,0
馬來西亞,2015/3/26,0
馬來西亞,2015/3/27,0
馬來西亞,2015/3/28,0
馬來西亞,2015/3/29,0.0149253731343284
馬來西亞,2015/3/30,0
公務車,2015/3/20,0
公務車,2015/3/21,0.00432900432900433
公務車,2015/3/22,0
公務車,2015/3/23,0
公務車,2015/3/24,0
公務車,2015/3/25,0
公務車,2015/3/26,0.278688524590164
公務車,2015/3/27,0
公務車,2015/3/28,0
公務車,2015/3/29,0
公務車,2015/3/30,0
孫蕓蕓,2015/3/20,0
劉嘉玲,2015/3/20,0
孫蕓蕓,2015/3/21,0.00432900432900433
劉嘉玲,2015/3/21,0.00432900432900433
孫蕓蕓,2015/3/22,0
劉嘉玲,2015/3/22,0
孫蕓蕓,2015/3/23,0.272727272727273
劉嘉玲,2015/3/23,0.272727272727273
孫蕓蕓,2015/3/24,0
劉嘉玲,2015/3/24,0
孫蕓蕓,2015/3/25,0
劉嘉玲,2015/3/25,0
孫蕓蕓,2015/3/26,0
劉嘉玲,2015/3/26,0
孫蕓蕓,2015/3/27,0
劉嘉玲,2015/3/27,0
孫蕓蕓,2015/3/28,0
劉嘉玲,2015/3/28,0
孫蕓蕓,2015/3/29,0
劉嘉玲,2015/3/29,0
孫蕓蕓,2015/3/30,0
劉嘉玲,2015/3/30,0
休灰,2015/3/20,0
志氣,2015/3/20,0
莫散,2015/3/20,0
講師,2015/3/20,0
休灰,2015/3/21,0
志氣,2015/3/21,0
莫散,2015/3/21,0
講師,2015/3/21,0
休灰,2015/3/22,0
志氣,2015/3/22,0
莫散,2015/3/22,0
講師,2015/3/22,0
休灰,2015/3/23,0
志氣,2015/3/23,0
莫散,2015/3/23,0
講師,2015/3/23,0
休灰,2015/3/24,0
志氣,2015/3/24,0
莫散,2015/3/24,0
講師,2015/3/24,0
休灰,2015/3/25,0
志氣,2015/3/25,0
莫散,2015/3/25,0
講師,2015/3/25,0
休灰,2015/3/26,0
志氣,2015/3/26,0
莫散,2015/3/26,0
講師,2015/3/26,0
休灰,2015/3/27,0
志氣,2015/3/27,0
莫散,2015/3/27,0
講師,2015/3/27,0
休灰,2015/3/28,0.00558659217877095
志氣,2015/3/28,0.00558659217877095
莫散,2015/3/28,0.00558659217877095
講師,2015/3/28,0.00558659217877095
休灰,2015/3/29,0
志氣,2015/3/29,0
莫散,2015/3/29,0
講師,2015/3/29,0
休灰,2015/3/30,0.271186440677966
志氣,2015/3/30,0.271186440677966
莫散,2015/3/30,0.271186440677966
講師,2015/3/30,0.271186440677966
許添財,2015/3/20,0
許添財,2015/3/21,0
許添財,2015/3/22,0.00392156862745098
許添財,2015/3/23,0.272727272727273
許添財,2015/3/24,0
許添財,2015/3/25,0
許添財,2015/3/26,0
許添財,2015/3/27,0
許添財,2015/3/28,0
許添財,2015/3/29,0
許添財,2015/3/30,0
判別,2015/3/20,0.00324675324675325
判別,2015/3/21,0
判別,2015/3/22,0
判別,2015/3/23,0
判別,2015/3/24,0
判別,2015/3/25,0.257142857142857
判別,2015/3/26,0
判別,2015/3/27,0
判別,2015/3/28,0
判別,2015/3/29,0
判別,2015/3/30,0
黃揚明,2015/3/20,0
黃揚明,2015/3/21,0
黃揚明,2015/3/22,0.00392156862745098
黃揚明,2015/3/23,0
黃揚明,2015/3/24,0
黃揚明,2015/3/25,0.00714285714285714
黃揚明,2015/3/26,0
黃揚明,2015/3/27,0
黃揚明,2015/3/28,0
黃揚明,2015/3/29,0.238805970149254
黃揚明,2015/3/30,0
接手,2015/3/20,0.00324675324675325
接手,2015/3/21,0
接手,2015/3/22,0
接手,2015/3/23,0
接手,2015/3/24,0
接手,2015/3/25,0
接手,2015/3/26,0.00546448087431694
